titre,entreprise,lieu,lien,query,location,date_scrape
Data Analyst (H/F),Extia,1160 Bruxelles Auderghem,https://be.indeed.com/viewjob?jk=123456789abcdef0,data analyst,Belgique,2026-04-21 10:29
Data Analyst,SPF Finances,Schaarbeek,https://be.indeed.com/rc/clk?jk=f5719035b7e6af97&bb=4i5g6YWk1FS0BFhdcIe6cM9AXdVx5BAIEZGUCMhVKWauc3KfF4kkuw3OPUAbBEM4Wjm2knlxIUXCrxdwvbUFCVZp5n6lGi8mN0l4t2djK1_g1WzE-z8KV--VCDrtPO4i&xkcb=SoA767M3kXtMLYzNzJ0PbzkdCdPP&fccid=9ec06fd843cfde0f&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst (H/F) - Belgique (IT) / Freelance,Mindquest,Télétravail à Gosselies,https://be.indeed.com/rc/clk?jk=e6ea99e1a8869443&bb=4i5g6YWk1FS0BFhdcIe6cHMNqIkQMyITbc5G1R9oiaosRgCbsEXF5I6YP2wwaTvYxcXNesOJITOqQhFSr9i8Ii9Iob78kAsISrTXCVdXWD32An64hwhetQrDDxFB36Bi&xkcb=SoCP67M3kXtMLYzNzJ0ObzkdCdPP&fccid=9355d093065b9a46&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Quality Analyst,Smals,Bruxelles,https://be.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ap2FULOwKTV8wmlC80HtiicegvfVJ2HGG_JhsTsMSe7WrvtKJovykk9_fzekhjGDQWM_4jWgxYj51zgzj1Il0mWoMqWZ5NacjVET1ByQz0HqIydX_UHph1dyHQPHWnUKnIRygNjb-8ruvgSw0-R-mygKxgRlxTDxR0gRV3Fd4BnjImEzaRc0_qlVKvLXILZgA5yqUUrQKh0PyVSBJPi5ZQHjoYMmnYQXX85Y3VGq1AXkP_cHVfLQ8xCmjaSLxi4XCfSG_VA-Am_uapWsXcWeq0fEV9SGejfsca3MveZsQf68JoZFTCfDPOx0Jt5AvVYywg9Wk1RUkoY1ep4YhSzij2H-HZXxKb53lINDpSNlndQT350ZxPteD8uwgvzxBpkzedjp2XJzThnVX8wRtt9sOD1y8nKts-YzAjDnZ3zuIMnCMmKXrT8KWjxUNKR-apmUInHfLlVsqG8fVAV74TpleiY6vSpu_W8bYpqSYiLPPdrcU01VJu0zTzZHn_T7jbiW0jKeiBHZQbX0fAPVc63pdo5HdppdklBorQfrJlZA3IDg1l88E508Hcnumm-sci8vuCCUxQiXMgWtNc9qyTs71s_ck-6RWMCjl2Icko5-VUG4zg4Yw1jsBR_rjKjS1lRzJC80Ssif-BEwkvuNGhFG9V_rcfC_ilgUcoZyyXi-RhQ_3c0iOrBI_QwnGkv30bPb9T3Tw3tociO5AkDBEzoJA7QRbn4qVGbRtGtW8bpJZKdP6U3hp_xJRuEYVZ8f8pFPKJC4FsFy23uktdJL089qwtMAFF_mQeVuPqZnjL01Wj4PcjS2LZW8LSMQ5l5uToXv8eD_qg1NeKS6-KEc9fCNwtPdMKQkC5LVc6p6HNkD-AfMIAuvbV0FqbOCvEgRxtztiAzUgu4-p2dccG9bw4RrT1Nxpc3yQmDMI=&xkcb=SoDm6_M3kXtMLYzNzJ0NbzkdCdPP&camk=nUmJqO2E8riM4OPJINzs_A==&p=6&fvj=0&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst,Carrefour,1930 Zaventem,https://be.indeed.com/rc/clk?jk=39f37205f5d8295d&bb=4i5g6YWk1FS0BFhdcIe6cBBHf5yMPIOX3JwnCeNIRLuRrFq5T25YaYmN3RNRYcBpOQVFyD3JpJ6ik3CG5_E0Gfd99I3u_yNlOhPNqlOMedGyS5qkM4J3b9ZSX66Nl1vl&xkcb=SoCm67M3kXtMLYzNzJ0MbzkdCdPP&fccid=669350d87ae4a4a6&vjs=3,data analyst,Belgique,2026-04-21 10:29
Functional Data Analyst,Smals,Bruxelles,https://be.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ap2FULOwKTV8wmlC80HtiicegvfVJ2HGG_JhsTsMSe7WrvtKJovykk9_fzekhjGDROA7hIvXyopYTIw_yjlgSJdkTdWu-cfOzh_N8js_1HjjDr6zjt1wylvnU7MqN9HV5QkLWWBV3AeFhAA9gxFSpGpEqH4QM3CXv8zGgUYu2tlWcQjtT2zw-R4bgxLcj6tsDZnye9ojvPnyXPlRwH_cHMlPVE9DCV0F4bkJLWkJQs7vhqQig0MKbM2KdVAmqVKh9tXJJoRUZx4MmQAyT1gbufmOiBKxPBRup01YZ1cQyggrwsq7B79Su92INJTEZy2_TocmgkZ3gsloa9vWNRI0PHHDwlhEZX_Vcjcx_Z7pbNiBlm7Mz4HPLPU2sX4JR386ws5_-YtGMi15avJbLrl32VnTHuPiQPldjCdT5Oh43-7RtBU_ffzHxB43TbCYhVYUDpGzkS_D4ksU1U2wfzn-e6Ulk6GEO7cCwbSAJWFKZXB_FQhS_WMx_-eZxM7zxuIO2Rtnsnt9KgjuKDcu_z24IAxWMsls5qdeqTGwQV7lsJyoLar6UgsKizt9KPRjPKyU1dOZXQwVVx5C67iiBaUwMhyj5cghSpzI3DpmZDnZqMWhdL0TFGEBYB4cqjDjeoSFopgdbyZqtOK4hawFFUSZDMT8sNZiWHjb_9PKz2u9q595XDB49wTu-mnN0Y4Cycb9APn9rv3GMbgxlni3l1ZkZqIw3EBCggsZCJbffS6UIFoxLGO_LcLP2fK4lRzKrrXo__e8C4uNu4PYBw-W4G3V-rcW0rDMN0isLeSya-mBebcnHyKwUETYUBBaL6RUeVb3qwrUk6pdPagHYluMzeceD0eQUtB4g4dxYaggSN3QIbm6tKzis0QWSHqXWSwDu1gfKCIw6ljCV37D-UKKJ4HkqJKF5T_47eU5VXjW6mNDtgIQ==&xkcb=SoC76_M3kXtMLYzNzJ0DbzkdCdPP&camk=nUmJqO2E8riM4OPJINzs_A==&p=8&fvj=0&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst Confirmé (H/F),Extia,1160 Bruxelles Auderghem,https://be.indeed.com/rc/clk?jk=dafd6f64f3a9d598&bb=4i5g6YWk1FS0BFhdcIe6cOGYvx1CVesjyaeimoeogwuIqDvpSl_UYZTxUukK6UHRKkWapSUjysI_lNGw5vWB03KT48GhRjavpxWa3I5Lva--r3T4nv1z0U7mAmiZcnYr&xkcb=SoD767M3kXtMLYzNzJ0CbzkdCdPP&fccid=51f8790ad48982e0&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst,skeyes,Steenokkerzeel,https://be.indeed.com/rc/clk?jk=f49090538378cb11&bb=4i5g6YWk1FS0BFhdcIe6cGOgzIJ1EUM5yxQT8SBDlox_2CfRiRVZvh37LaF3J_63ZCxeqYN31AJtpu4MswVZXoOAN8ZAB_dVG1gxdTYdIqhCYz8-6I8LRxRmli25jTr7&xkcb=SoBm67M3kXtMLYzNzJ0BbzkdCdPP&fccid=72d4b72de2492726&vjs=3,data analyst,Belgique,2026-04-21 10:29
HR Data Analyst,Delhaize,Télétravail à Asse,https://be.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVoitxMfDM4Cg43CFhNuK_pHhGdygZs_Zgr0DamRS3PHi-yVmindp4_0auNsock_EvA5EoeV_mizlwf9GZc3BPoDAVZCTwl10uHcaK48af-gkmEHoqnJ3rrrg7n23KpQVFqcajaWSQhRkKqPZPqn3deNYGr6DN-9pXcRXvniiJjnei56RIlaf5YNNY8cVcKa0xtEo0qogCahK2V-vG_DfOXCLSRr_S80cXSO5hFNZyU5O4wxZE4UJswQe28NJWv_SpXWHsEy3TnLHqXR09Ctj5cqE8na18_4YaSt-tN399UAghwSZH5LUwLTxbunTbQZfKlEVfw0P9ZSteByHPWBvhJdg14FkpmpdwRRCEyAa6hkJVo9WU_SbC2FER0bs12wjPwdHtgp_0ssz6pCf1wJOEqaRXZQljczZVnbyl8h5GQzHd4Yu6miel1-OGst6BhHrHmq94Mw-o8GPxKNChAbg80WdEFYdw7FrW1Rz-SFTvEPkVoVDr3l6W9B8cO-UqeFd4SpI181P8GvdNfL_EAb_FRmgKr9mhSSOOPEVMmsKaqStCpIwOe_JpR9KMcwUEz-fQcH0cMtT6P4UkSf9-rq69AEBWd7HD0LewsY28BwE1kY8coz7nvC8FrYbXVL4sX-Iduz35vQj7UniDlhHU7ulHIAEnAgDxBicG7Egt_dSSEz2qHGUCDFM7IFNuPobakPcuq_8hMy-JOldRyjziiYklRBflv_MsY4K6L9ltzAEATUwdutal_vVc-gvF9M66gqeLK6HHfTZP4xe508JCq9jslQYc1nd5LKZbBD8_eCDL5o-6W8pbpX4yy2zKosz8bBtL2JTqTgJISfhtgf2p9gRGfXWX8n48Ta5DZql-vWsu1T3soATUMrMrU1QNR6lpKiBla6MvII6iy2PeAvtrlgUjwLnp07tW5W-Z-cT3Xlrkig==&xkcb=SoAm6_M3kXtMLYzNzJ0AbzkdCdPP&camk=f416UQcMBpCVH-3BRAnLtw==&p=11&fvj=0&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Pipeline Analyst - NL / FR,AEROW,Télétravail à Bruxelles,https://be.indeed.com/rc/clk?jk=7a1bbddc256645fc&bb=4i5g6YWk1FS0BFhdcIe6cALjVi2OKn43CaBH8VGD_fQsIQmVA8iZZ2J33mXL7hn5-FUPW32h8czBlTPzzeyPrKr5CBrlPxMv1VQRSJt7RL9V2UpuHXiTTIhgBzV_2NRJ&xkcb=SoBc67M3kXtMLYzNzJ0HbzkdCdPP&fccid=f615869c963a999d&vjs=3,data analyst,Belgique,2026-04-21 10:29
